date,daily_count
2017-01-01,1
2017-01-02,7
2017-01-03,9
2017-01-04,9
2017-01-05,6
2017-01-06,12
2017-01-07,8
2017-01-08,3
2017-01-09,8
2017-01-10,4
2017-01-11,6
2017-01-12,5
2017-01-13,8
2017-01-14,3
2017-01-15,8
2017-01-16,3
2017-01-17,9
2017-01-18,8
2017-01-19,8
2017-01-20,13
2017-01-21,2
2017-01-22,4
2017-01-23,1
2017-01-24,4
2017-01-25,8
2017-01-26,10
2017-01-27,7
2017-01-28,5
2017-01-29,7
2017-01-30,7
2017-01-31,3
2017-02-01,4
2017-02-02,8
2017-02-03,7
2017-02-04,9
2017-02-05,6
2017-02-06,6
2017-02-07,5
2017-02-08,11
2017-02-09,8
2017-02-10,3
2017-02-11,9
2017-02-12,8
2017-02-13,3
2017-02-14,6
2017-02-15,11
2017-02-16,6
2017-02-17,8
2017-02-18,4
2017-02-19,1
2017-02-20,4
2017-02-21,3
2017-02-22,2
2017-02-23,1
2017-02-24,6
2017-02-25,7
2017-02-26,4
2017-02-27,2
2017-02-28,1
2017-03-01,3
2017-03-02,1
2017-03-03,13
2017-03-04,7
2017-03-05,3
2017-03-06,4
2017-03-07,8
2017-03-08,6
2017-03-09,3
2017-03-10,1
2017-03-11,1
2017-03-12,0
2017-03-13,5
2017-03-14,2
2017-03-15,7
2017-03-16,6
2017-03-17,4
2017-03-18,2
2017-03-19,1
2017-03-20,7
2017-03-21,4
2017-03-22,1
2017-03-23,5
2017-03-24,4
2017-03-25,4
2017-03-26,1
2017-03-27,1
2017-03-28,10
2017-03-29,4
2017-03-30,9
2017-03-31,8
2017-04-01,7
2017-04-02,3
2017-04-03,8
2017-04-04,3
2017-04-05,1
2017-04-06,2
2017-04-07,0
2017-04-08,5
2017-04-09,2
2017-04-10,3
2017-04-11,4
2017-04-12,6
2017-04-13,4
2017-04-14,1
2017-04-15,0
2017-04-16,5
2017-04-17,7
2017-04-18,7
2017-04-19,4
2017-04-20,4
2017-04-21,4
2017-04-22,7
2017-04-23,7
2017-04-24,7
2017-04-25,5
2017-04-26,9
2017-04-27,12
2017-04-28,3
2017-04-29,3
2017-04-30,5
2017-05-01,2
2017-05-02,4
2017-05-03,4
2017-05-04,9
2017-05-05,10
2017-05-06,1
2017-05-07,4
2017-05-08,9
2017-05-09,2
2017-05-10,9
2017-05-11,6
2017-05-12,9
2017-05-13,4
2017-05-14,1
2017-05-15,1
2017-05-16,6
2017-05-17,1
2017-05-18,4
2017-05-19,3
2017-05-20,2
2017-05-21,2
2017-05-22,1
2017-05-23,4
2017-05-24,2
2017-05-25,3
2017-05-26,4
2017-05-27,7
2017-05-28,12
2017-05-29,6
2017-05-30,3
2017-05-31,9
2017-06-01,5
2017-06-02,2
2017-06-03,3
2017-06-04,3
2017-06-05,8
2017-06-06,8
2017-06-07,5
2017-06-08,0
2017-06-09,6
2017-06-10,2
2017-06-11,4
2017-06-12,6
2017-06-13,9
2017-06-14,3
2017-06-15,7
2017-06-16,7
2017-06-17,2
2017-06-18,4
2017-06-19,11
2017-06-20,5
2017-06-21,9
2017-06-22,13
2017-06-23,5
2017-06-24,6
2017-06-25,2
2017-06-26,7
2017-06-27,7
2017-06-28,8
2017-06-29,13
2017-06-30,7
2017-07-01,11
2017-07-02,4
2017-07-03,9
2017-07-04,5
2017-07-05,5
2017-07-06,4
2017-07-07,7
2017-07-08,4
2017-07-09,11
2017-07-10,5
2017-07-11,4
2017-07-12,12
2017-07-13,4
2017-07-14,11
2017-07-15,8
2017-07-16,8
2017-07-17,3
2017-07-18,5
2017-07-19,4
2017-07-20,3
2017-07-21,7
2017-07-22,14
2017-07-23,4
2017-07-24,9
2017-07-25,19
2017-07-26,11
2017-07-27,7
2017-07-28,9
2017-07-29,14
2017-07-30,1
2017-07-31,3
2017-08-01,3
2017-08-02,4
2017-08-03,8
2017-08-04,8
2017-08-05,7
2017-08-06,1
2017-08-07,15
2017-08-08,4
2017-08-09,5
2017-08-10,4
2017-08-11,4
2017-08-12,9
2017-08-13,0
2017-08-14,8
2017-08-15,5
2017-08-16,10
2017-08-17,12
2017-08-18,6
2017-08-19,10
2017-08-20,1
2017-08-21,3
2017-08-22,7
2017-08-23,10
2017-08-24,14
2017-08-25,12
2017-08-26,8
2017-08-27,11
2017-08-28,0
2017-08-29,2
2017-08-30,5
2017-08-31,2
2017-09-01,7
2017-09-02,4
2017-09-03,10
2017-09-04,1
2017-09-05,4
2017-09-06,7
2017-09-07,9
2017-09-08,8
2017-09-09,3
2017-09-10,2
2017-09-11,2
2017-09-12,4
2017-09-13,3
2017-09-14,13
2017-09-15,14
2017-09-16,3
2017-09-17,5
2017-09-18,5
2017-09-19,8
2017-09-20,19
2017-09-21,9
2017-09-22,9
2017-09-23,13
2017-09-24,9
2017-09-25,8
2017-09-26,20
2017-09-27,12
2017-09-28,6
2017-09-29,11
2017-09-30,21
2017-10-01,7
2017-10-02,2
2017-10-03,4
2017-10-04,8
2017-10-05,6
2017-10-06,1
2017-10-07,12
